id,species,order,digestive_habitat_type,diet,surrounding_habitat,category
10.4.2.21.7.2014,teuchestes fossor,coleoptera,intestine,detritivore_scavenger,terrestrial,1
10.4.3.21.7.2014,teuchestes fossor,coleoptera,intestine,detritivore_scavenger,terrestrial,1
13.7.3.21.7.14,teuchestes fossor,coleoptera,intestine,detritivore_scavenger,terrestrial,1
17.9.F.16.6.14,teuchestes fossor,coleoptera,intestine,detritivore_scavenger,terrestrial,1
17.9.M.16.6.14,teuchestes fossor,coleoptera,intestine,detritivore_scavenger,terrestrial,1
28.8.F.16.6.2014,teuchestes fossor,coleoptera,intestine,detritivore_scavenger,terrestrial,1
30.6.M.16.6.2014,teuchestes fossor,coleoptera,intestine,detritivore_scavenger,terrestrial,1
894.MR209.lane3.NoIndex.L003,anser sp,anseriformes,fecal,herbivore,terrestrial,1
894.OS439.lane3.NoIndex.L003,anser sp,anseriformes,fecal,herbivore,terrestrial,1
SRR2006076,anser indicus,anseriformes,fecal,herbivore,terrestrial,1
SRR2006080,anser indicus,anseriformes,fecal,herbivore,terrestrial,1
SRR2006084,anser indicus,anseriformes,fecal,herbivore,terrestrial,1
SRR2006088,anser indicus,anseriformes,fecal,herbivore,terrestrial,1
SRR2006092,anser indicus,anseriformes,fecal,herbivore,terrestrial,1
SRR2006093,anser indicus,anseriformes,fecal,herbivore,terrestrial,1
SRR2006094,anser indicus,anseriformes,fecal,herbivore,terrestrial,1
SRR2532226,ovis aries,artiodactyla,stomach,herbivore,terrestrial,1
SRR2532229,ovis aries,artiodactyla,intestine,herbivore,terrestrial,1
SRR2532230,ovis aries,artiodactyla,fecal,herbivore,terrestrial,1
SRR2532240,ovis aries,artiodactyla,intestine,herbivore,terrestrial,1
SRR2532243,ovis aries,artiodactyla,intestine,herbivore,terrestrial,1
SRR2532245,ovis aries,artiodactyla,stomach,herbivore,terrestrial,1
SRR2532253,ovis aries,artiodactyla,stomach,herbivore,terrestrial,1
SRR2532256,ovis aries,artiodactyla,stomach,herbivore,terrestrial,1
SRR2532257,ovis aries,artiodactyla,stomach,herbivore,terrestrial,1
33.8.20.6.2014,bos taurus,artiodactyla,fecal,herbivore,terrestrial,1
43.8.20.6.2014,bos taurus,artiodactyla,fecal,herbivore,terrestrial,1
49.5.11.6.2014,bos taurus,artiodactyla,fecal,herbivore,terrestrial,1
52.4.20.6.14,bos taurus,artiodactyla,fecal,herbivore,terrestrial,1
54.4.20.6.14,bos taurus,artiodactyla,fecal,herbivore,terrestrial,1
67.6.11.6.2014,bos taurus,artiodactyla,fecal,herbivore,terrestrial,1
74.4.20.6.14,bos taurus,artiodactyla,fecal,herbivore,terrestrial,1
894.MR511.lane3.NoIndex.L003,rusa unicolor,artiodactyla,fecal,herbivore,terrestrial,1
894.OS584.lane3.NoIndex.L003,rusa unicolor,artiodactyla,fecal,herbivore,terrestrial,1
894.OS1922.lane2.NoIndex.L002,rusa unicolor,artiodactyla,fecal,herbivore,terrestrial,1
894.SV1546.lane5.NoIndex.L005,rusa unicolor,artiodactyla,fecal,herbivore,terrestrial,1
894.OS1246.lane5.NoIndex.L005,rusa unicolor,artiodactyla,fecal,herbivore,terrestrial,1
894.OR386.lane3.NoIndex.L003,rusa unicolor,artiodactyla,fecal,herbivore,terrestrial,1
894.YY1873.lane2.NoIndex.L002,rusa unicolor,artiodactyla,fecal,herbivore,terrestrial,1
894.YY1649.lane5.NoIndex.L005,rusa unicolor,artiodactyla,fecal,herbivore,terrestrial,1
894.UY1784.lane5.NoIndex.L005,rusa unicolor,artiodactyla,fecal,herbivore,terrestrial,1
894.OS1242.lane5.NoIndex.L005,rusa unicolor,artiodactyla,fecal,herbivore,terrestrial,1
1734.LD.Carsow1,carollia sowelli,chiroptera,fecal,herbivore,terrestrial,1
1734.LD.QCAZ.M50991,sturnira erythromos,chiroptera,fecal,herbivore,terrestrial,1
1734.BD.ERD506,carollia sowelli,chiroptera,fecal,herbivore,terrestrial,1
894.OS590.lane3.NoIndex.L003,vombatidae,diprotodontia,fecal,herbivore,terrestrial,1
894.OS465.lane3.NoIndex.L003,vombatidae,diprotodontia,fecal,herbivore,terrestrial,1
894.YY1654.lane5.NoIndex.L005,trichosurus caninus,diprotodontia,fecal,herbivore,terrestrial,1
894.MR298.lane3.NoIndex.L003,vombatidae,diprotodontia,fecal,herbivore,terrestrial,1
894.YY1655.lane5.NoIndex.L005,trichosurus caninus,diprotodontia,fecal,herbivore,terrestrial,1
894.OS591.lane3.NoIndex.L003,vombatidae,diprotodontia,fecal,herbivore,terrestrial,1
894.SV1424.lane5.NoIndex.L005,vombatidae,diprotodontia,fecal,herbivore,terrestrial,1
894.SV1543.lane5.NoIndex.L005,macropus sp,diprotodontia,fecal,herbivore,terrestrial,1
894.YY1652.lane5.NoIndex.L005,trichosurus caninus,diprotodontia,fecal,herbivore,terrestrial,1
894.C1525.lane5.NoIndex.L005,macropus sp,diprotodontia,fecal,herbivore,terrestrial,1
894.YY1653.lane5.NoIndex.L005,trichosurus caninus,diprotodontia,fecal,herbivore,terrestrial,1
894.SL877.lane3.NoIndex.L003,macropus sp,diprotodontia,fecal,herbivore,terrestrial,1
894.UY718.lane3.NoIndex.L003,vombatidae,diprotodontia,fecal,herbivore,terrestrial,1
894.OS589.lane3.NoIndex.L003,vombatidae,diprotodontia,fecal,herbivore,terrestrial,1
894.MR948.lane3.NoIndex.L003,vombatidae,diprotodontia,fecal,herbivore,terrestrial,1
894.OS588.lane3.NoIndex.L003,vombatidae,diprotodontia,fecal,herbivore,terrestrial,1
894.MR183.lane3.NoIndex.L003,trichosurus caninus,diprotodontia,fecal,herbivore,terrestrial,1
894.SV1401.lane5.NoIndex.L005,macropus sp,diprotodontia,fecal,herbivore,terrestrial,1
894.YY1802.lane5.NoIndex.L005,macropus sp,diprotodontia,fecal,herbivore,terrestrial,1
894.YY1204.lane5.NoIndex.L005,vombatidae,diprotodontia,fecal,herbivore,terrestrial,1
894.MR184.lane3.NoIndex.L003,trichosurus caninus,diprotodontia,fecal,herbivore,terrestrial,1
894.YY1106.lane5.NoIndex.L005,macropus sp,diprotodontia,fecal,herbivore,terrestrial,1
Aphids.tomato,macrosiphum euphorbiae,hemiptera,intestine,herbivore,terrestrial,1
Bee2,apis mellifera,hymenoptera,intestine,herbivore,terrestrial,1
Bee3,apis mellifera,hymenoptera,intestine,herbivore,terrestrial,1
Bee4,apis mellifera,hymenoptera,intestine,herbivore,terrestrial,1
Bee5,apis mellifera,hymenoptera,intestine,herbivore,terrestrial,1
Bee6,apis mellifera,hymenoptera,intestine,herbivore,terrestrial,1
1064.G.CV324,apis mellifera,hymenoptera,intestine,herbivore,terrestrial,1
894.YY959.lane3.NoIndex.L003,oryctolagus cuniculus,lagomorpha,fecal,herbivore,terrestrial,1
894.GV998.lane5.NoIndex.L005,oryctolagus cuniculus,lagomorpha,fecal,herbivore,terrestrial,1
894.UY687.lane3.NoIndex.L003,oryctolagus cuniculus,lagomorpha,fecal,herbivore,terrestrial,1
894.UY686.lane3.NoIndex.L003,oryctolagus cuniculus,lagomorpha,fecal,herbivore,terrestrial,1
894.UY695.lane3.NoIndex.L003,oryctolagus cuniculus,lagomorpha,fecal,herbivore,terrestrial,1
894.YY982.lane5.NoIndex.L005,oryctolagus cuniculus,lagomorpha,fecal,herbivore,terrestrial,1
SRR4290013,ochotona princeps,lagomorpha,fecal,herbivore,terrestrial,1
SRR4289985,ochotona princeps,lagomorpha,fecal,herbivore,terrestrial,1
SRR4289986,ochotona princeps,lagomorpha,fecal,herbivore,terrestrial,1
SRR4289992,ochotona princeps,lagomorpha,fecal,herbivore,terrestrial,1
SRR4289938,ochotona princeps,lagomorpha,fecal,herbivore,terrestrial,1
SRR4289942,ochotona princeps,lagomorpha,fecal,herbivore,terrestrial,1
SRR4289945,ochotona princeps,lagomorpha,fecal,herbivore,terrestrial,1
SRR4289967,ochotona princeps,lagomorpha,fecal,herbivore,terrestrial,1
SRR4289973,ochotona princeps,lagomorpha,fecal,herbivore,terrestrial,1
CL.SM.27.F,citheronia lobesis,lepidoptera,fecal,herbivore,terrestrial,1
EI.CV.8.H,eacles imperialis,lepidoptera,fecal,herbivore,terrestrial,1
EREB2.6215,pachydota saduca,lepidoptera,fecal,herbivore,terrestrial,1
HYCE.PRSE.9315,hyalophora cecropia,lepidoptera,fecal,herbivore,terrestrial,1
MORP.61215,morpho granadensis,lepidoptera,fecal,herbivore,terrestrial,1
RL.SM.8.H,rothschildia lebeau,lepidoptera,fecal,herbivore,terrestrial,1
SC.SS.17.H,syssphinx colla,lepidoptera,fecal,herbivore,terrestrial,1
SC.SS.7.F,syssphinx colla,lepidoptera,fecal,herbivore,terrestrial,1
SC.SS.7.H,syssphinx colla,lepidoptera,fecal,herbivore,terrestrial,1
TT.PQ.4.M,titaea tamerlan,lepidoptera,fecal,herbivore,terrestrial,1
ERR1720404,jalmenus evagoras,lepidoptera,intestine,herbivore,terrestrial,1
ERR1720464,edales pandava,lepidoptera,stomach,herbivore,terrestrial,1
ERR1720485,edales pandava,lepidoptera,stomach,herbivore,terrestrial,1
ERR1720486,edales pandava,lepidoptera,stomach,herbivore,terrestrial,1
ERR1720508,axiocerses thyra,lepidoptera,fecal,herbivore,terrestrial,1
ERR1720524,iolaus trimeni,lepidoptera,stomach,herbivore,terrestrial,1
ERR1720527,anthene sp,lepidoptera,intestine,herbivore,terrestrial,1
1773.Salt.max1.ugi,saltator maximus,passeriformes,fecal,herbivore,terrestrial,1
ERR1101979,alouatta palliata,primates,fecal,herbivore,terrestrial,1
ERR1101826,alouatta palliata,primates,fecal,herbivore,terrestrial,1
ERR1101997,alouatta palliata,primates,fecal,herbivore,terrestrial,1
ERR1101864,alouatta pigra,primates,fecal,herbivore,terrestrial,1
ERR1101816,alouatta palliata,primates,fecal,herbivore,terrestrial,1
ERR1101849,alouatta pigra,primates,fecal,herbivore,terrestrial,1
ERR1101842,alouatta pigra,primates,fecal,herbivore,terrestrial,1
ERR1102000,alouatta palliata,primates,fecal,herbivore,terrestrial,1
ERR1101920,alouatta pigra,primates,fecal,herbivore,terrestrial,1
ERR1101992,alouatta palliata,primates,fecal,herbivore,terrestrial,1
ERR1101944,alouatta pigra,primates,fecal,herbivore,terrestrial,1
ERR1101827,alouatta palliata,primates,fecal,herbivore,terrestrial,1
ERR1101904,alouatta pigra,primates,fecal,herbivore,terrestrial,1
ERR1101996,alouatta palliata,primates,fecal,herbivore,terrestrial,1
ERR1102001,alouatta palliata,primates,fecal,herbivore,terrestrial,1
ERR1101808,alouatta palliata,primates,fecal,herbivore,terrestrial,1
ERR1101883,alouatta pigra,primates,fecal,herbivore,terrestrial,1
ERR1101985,alouatta palliata,primates,fecal,herbivore,terrestrial,1
ERR1101990,alouatta palliata,primates,fecal,herbivore,terrestrial,1
ERR1101987,alouatta palliata,primates,fecal,herbivore,terrestrial,1
ERR1101813,alouatta palliata,primates,fecal,herbivore,terrestrial,1
ERR1101874,alouatta pigra,primates,fecal,herbivore,terrestrial,1
ERR1101965,alouatta palliata,primates,fecal,herbivore,terrestrial,1
ERR1101923,alouatta pigra,primates,fecal,herbivore,terrestrial,1
SRR946011,neotoma lepida,rodentia,forgut,herbivore,terrestrial,1
SRR946013,neotoma lepida,rodentia,forgut,herbivore,terrestrial,1
SRR945994,neotoma lepida,rodentia,forgut,herbivore,terrestrial,1
SRR2121131,myodes glareolus,rodentia,intestine,herbivore,terrestrial,1
SRR850052,neotoma albigula,rodentia,intestine,herbivore,terrestrial,1
SRR2121089,myodes glareolus,rodentia,forgut,herbivore,terrestrial,1
SRR2121090,myodes glareolus,rodentia,intestine,herbivore,terrestrial,1
SRR2121087,myodes glareolus,rodentia,intestine,herbivore,terrestrial,1
SRR2121103,myodes glareolus,rodentia,intestine,herbivore,terrestrial,1
SRR2121116,myodes glareolus,rodentia,intestine,herbivore,terrestrial,1
SRR850081,neotoma albigula,rodentia,stomach,herbivore,terrestrial,1
SRR935040,neotoma lepida,rodentia,forgut,herbivore,terrestrial,1
SRR935047,neotoma lepida,rodentia,forgut,herbivore,terrestrial,1
SRR2121157,myodes glareolus,rodentia,intestine,herbivore,terrestrial,1
SRR2121054,myodes glareolus,rodentia,intestine,herbivore,terrestrial,1
SRR2121062,myodes glareolus,rodentia,intestine,herbivore,terrestrial,1
SRR850062,neotoma albigula,rodentia,intestine,herbivore,terrestrial,1
SRR850072,neotoma albigula,rodentia,forgut,herbivore,terrestrial,1
SRR850054,neotoma albigula,rodentia,forgut,herbivore,terrestrial,1
963.Iguana.164.052711.GAM.vial.763,iguana iguana,squamata,fecal,herbivore,terrestrial,1
963.Iguana.54.062110.HPT.vial.260,iguana iguana,squamata,fecal,herbivore,terrestrial,1
963.Iguana.A4.2.061211.BOH.vial.980,iguana iguana,squamata,fecal,herbivore,terrestrial,1
963.Iguana.159.052511.SUR.vial.793,iguana iguana,squamata,fecal,herbivore,terrestrial,1
894.F1468.lane5.NoIndex.L005,canus lupus familiaris,carnivora,fecal,omnivore,terrestrial,1
894.SV1759.lane5.NoIndex.L005,canus lupus familiaris,carnivora,fecal,omnivore,terrestrial,1
894.F1456.lane5.NoIndex.L005,canus lupus dingo,carnivora,fecal,omnivore,terrestrial,1
894.F1457.lane5.NoIndex.L005,vulpes vulpes,carnivora,fecal,omnivore,terrestrial,1
894.F1570.lane5.NoIndex.L005,vulpes vulpes,carnivora,fecal,omnivore,terrestrial,1
894.SV1770.lane5.NoIndex.L005,canus lupus familiaris,carnivora,fecal,omnivore,terrestrial,1
894.F1561.lane5.NoIndex.L005,vulpes vulpes,carnivora,fecal,omnivore,terrestrial,1
894.F1560.lane5.NoIndex.L005,vulpes vulpes,carnivora,fecal,omnivore,terrestrial,1
894.F1568.lane5.NoIndex.L005,vulpes vulpes,carnivora,fecal,omnivore,terrestrial,1
894.F1556.lane5.NoIndex.L005,vulpes vulpes,carnivora,fecal,omnivore,terrestrial,1
894.UY733.lane3.NoIndex.L003,canus lupus familiaris,carnivora,fecal,omnivore,terrestrial,1
894.UY732.lane3.NoIndex.L003,canus lupus familiaris,carnivora,fecal,omnivore,terrestrial,1
894.F1459.lane5.NoIndex.L005,vulpes vulpes,carnivora,fecal,omnivore,terrestrial,1
894.F1554.lane5.NoIndex.L005,canus lupus familiaris,carnivora,fecal,omnivore,terrestrial,1
894.SV1322.lane5.NoIndex.L005,vulpes vulpes,carnivora,fecal,omnivore,terrestrial,1
894.F1463.lane5.NoIndex.L005,canus lupus familiaris,carnivora,fecal,omnivore,terrestrial,1
894.F1461.lane5.NoIndex.L005,vulpes vulpes,carnivora,fecal,omnivore,terrestrial,1
894.F1553.lane5.NoIndex.L005,canus lupus familiaris,carnivora,fecal,omnivore,terrestrial,1
894.F1460.lane5.NoIndex.L005,vulpes vulpes,carnivora,fecal,omnivore,terrestrial,1
894.C1524.lane5.NoIndex.L005,dromaius novaehollandiae,casuariiformes,fecal,omnivore,terrestrial,1
894.C1518.lane5.NoIndex.L005,dromaius novaehollandiae,casuariiformes,fecal,omnivore,terrestrial,1
894.C1519.lane5.NoIndex.L005,dromaius novaehollandiae,casuariiformes,fecal,omnivore,terrestrial,1
894.C1517.lane5.NoIndex.L005,dromaius novaehollandiae,casuariiformes,fecal,omnivore,terrestrial,1
894.C1516.lane5.NoIndex.L005,dromaius novaehollandiae,casuariiformes,fecal,omnivore,terrestrial,1
ERR1306253,camponotus sp,hymenoptera,intestine,omnivore,terrestrial,1
ERR1306021,camponotus sp,hymenoptera,intestine,omnivore,terrestrial,1
ERR1697524,homo sapiens,primates,fecal,omnivore,terrestrial,1
ERR1697594,homo sapiens,primates,fecal,omnivore,terrestrial,1
ERR1697587,homo sapiens,primates,fecal,omnivore,terrestrial,1
ERR1697562,homo sapiens,primates,fecal,omnivore,terrestrial,1
ERR1697659,homo sapiens,primates,fecal,omnivore,terrestrial,1
ERR1697655,homo sapiens,primates,fecal,omnivore,terrestrial,1
ERR1697609,homo sapiens,primates,fecal,omnivore,terrestrial,1
ERR1697540,homo sapiens,primates,fecal,omnivore,terrestrial,1
ERR1697554,homo sapiens,primates,fecal,omnivore,terrestrial,1
ERR1697683,homo sapiens,primates,fecal,omnivore,terrestrial,1
1696.CT0001.3,rhinopithecus brelichi,primates,fecal,omnivore,terrestrial,1
550.L1S202.s.1.sequence,homo sapiens,primates,fecal,omnivore,terrestrial,1
1696.CT0016.2,rhinopithecus brelichi,primates,fecal,omnivore,terrestrial,1
1774.41Fecal23.10.09,homo sapiens,primates,fecal,omnivore,terrestrial,1
