SampleID,cluster,bodymass,host_scientific_name,digestive_habitat_type,diet,surrounding_habitat,country,host_order,host_kingdom,host_phylum,host_class,host_family,host_genus,country,elevation_m,additional_microbial_habitat_info,lifestage,captive_wild,sampling_month,trophic_diet,preservation_method,extraction_method,biogeo_realm,PD_whole_tree,chao1,shannon,simpson,observed_otus,host_phylogeny_nDMSproxy,FID,latitiude,longitude,Site_ID,Bio1_2_5min,Bio2_2_5min,Bio3_2_5min,Bio4_2_5min,Bio5_2_5min,Bio6_2_5min,Bio7_2_5min,Bio8_2_5min,Bio9_2_5min,Bio10_2_5min,Bio11_2_5min,Bio12_2_5min,Bio13_2_5min,Bio14_2_5min,Bio15_2_5min,Bio16_2_5min,Bio17_2_5min,Bio18_2_5min,Bio19_2_5min,Vegetation_density,terrain_complexity,NDVI_Modis_1_mar.2018,Immune_Complexity_Ordinal,Immune_Complexity_Binary
SRR850072,1,small,neotoma albigula,forgut,herbivore,terrestrial,usa,rodentia,animalia,chordata,mammalia,cricetidae,neotoma,usa,2510,none,adult,wild,may,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,nearctic,26.98331,213.0344828,5.741305899,0.955736,158,-0.278,3707,38.5,-109.3,81,5.11736667,12.90833339,37.0741073,798.5894052,23.36640015,-11.45519981,34.82159996,15.30333328,7.229066722,15.33226655,-3.916533208,504,57.4,24.6,22.00995475,161,95.8,156.4,111.8,22,135719,55,9,Adaptive
SRR850062,1,small,neotoma albigula,intestine,herbivore,terrestrial,usa,rodentia,animalia,chordata,mammalia,cricetidae,neotoma,usa,2510,none,adult,wild,july,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,nearctic,17.66455,98.76923077,4.458251653,0.885624,81,-0.278,3697,38.5,-109.3,81,5.11736667,12.90833339,37.0741073,798.5894052,23.36640015,-11.45519981,34.82159996,15.30333328,7.229066722,15.33226655,-3.916533208,504,57.4,24.6,22.00995475,161,95.8,156.4,111.8,22,135719,55,9,Adaptive
SRR850081,1,small,neotoma albigula,stomach,herbivore,terrestrial,usa,rodentia,animalia,chordata,mammalia,cricetidae,neotoma,usa,2510,none,adult,wild,february,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,nearctic,31.71045,213.5227273,6.091289935,0.96291,181,-0.278,3716,38.5,-109.3,81,5.11736667,12.90833339,37.0741073,798.5894052,23.36640015,-11.45519981,34.82159996,15.30333328,7.229066722,15.33226655,-3.916533208,504,57.4,24.6,22.00995475,161,95.8,156.4,111.8,22,135719,55,9,Adaptive
SRR850054,1,small,neotoma albigula,forgut,herbivore,terrestrial,usa,rodentia,animalia,chordata,mammalia,cricetidae,neotoma,usa,2510,none,adult,wild,november,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,nearctic,28.38926,207.125,5.951894421,0.9664,159,-0.278,3689,38.5,-109.3,81,5.11736667,12.90833339,37.0741073,798.5894052,23.36640015,-11.45519981,34.82159996,15.30333328,7.229066722,15.33226655,-3.916533208,504,57.4,24.6,22.00995475,161,95.8,156.4,111.8,22,135719,55,9,Adaptive
SRR850052,1,small,neotoma albigula,intestine,herbivore,terrestrial,usa,rodentia,animalia,chordata,mammalia,cricetidae,neotoma,usa,2510,none,adult,wild,october,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,nearctic,31.05574,240,6.3006282,0.972328,185,-0.278,3687,38.5,-109.3,81,5.11736667,12.90833339,37.0741073,798.5894052,23.36640015,-11.45519981,34.82159996,15.30333328,7.229066722,15.33226655,-3.916533208,504,57.4,24.6,22.00995475,161,95.8,156.4,111.8,22,135719,55,9,Adaptive
SRR946011,1,small,neotoma lepida,forgut,herbivore,terrestrial,usa,rodentia,animalia,chordata,mammalia,cricetidae,neotoma,usa,1296,none,adult,wild,december,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,nearctic,27.39298,231.5,6.108803382,0.975102,149,-0.278,1879,40.75,-111.88,88,11.16616671,13.63478671,34.24873394,942.3202043,30.71616051,-9.095680428,39.81184093,10.15578661,23.14912024,23.14912024,-0.178373404,474.16,58.52,19.88,31.27808032,166.8,66.52,66.52,112.92,0,2621.330078,100,9,Adaptive
SRR945994,1,small,neotoma lepida,forgut,herbivore,terrestrial,usa,rodentia,animalia,chordata,mammalia,cricetidae,neotoma,usa,1296,none,adult,wild,november,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,nearctic,24.61176,166.5,5.556241059,0.962424,111,-0.278,1878,40.75,-111.88,88,11.16616671,13.63478671,34.24873394,942.3202043,30.71616051,-9.095680428,39.81184093,10.15578661,23.14912024,23.14912024,-0.178373404,474.16,58.52,19.88,31.27808032,166.8,66.52,66.52,112.92,0,2621.330078,100,9,Adaptive
SRR946013,1,small,neotoma lepida,forgut,herbivore,terrestrial,usa,rodentia,animalia,chordata,mammalia,cricetidae,neotoma,usa,1296,none,adult,wild,december,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,nearctic,28.61231,196.2222222,5.907455492,0.966734,149,-0.278,1880,40.75,-111.88,88,11.16616671,13.63478671,34.24873394,942.3202043,30.71616051,-9.095680428,39.81184093,10.15578661,23.14912024,23.14912024,-0.178373404,474.16,58.52,19.88,31.27808032,166.8,66.52,66.52,112.92,0,2621.330078,100,9,Adaptive
SRR935040,1,small,neotoma lepida,forgut,herbivore,terrestrial,usa,rodentia,animalia,chordata,mammalia,cricetidae,neotoma,usa,1296,none,adult,wild,july,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,nearctic,17.54385,69,4.806560253,0.938338,65,-0.278,1876,40.75,-111.88,88,11.16616671,13.63478671,34.24873394,942.3202043,30.71616051,-9.095680428,39.81184093,10.15578661,23.14912024,23.14912024,-0.178373404,474.16,58.52,19.88,31.27808032,166.8,66.52,66.52,112.92,0,2621.330078,100,9,Adaptive
SRR935047,1,small,neotoma lepida,forgut,herbivore,terrestrial,usa,rodentia,animalia,chordata,mammalia,cricetidae,neotoma,usa,1296,none,adult,wild,july,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,nearctic,24.99722,143.625,5.908149149,0.970566,120,-0.278,1877,40.75,-111.88,88,11.16616671,13.63478671,34.24873394,942.3202043,30.71616051,-9.095680428,39.81184093,10.15578661,23.14912024,23.14912024,-0.178373404,474.16,58.52,19.88,31.27808032,166.8,66.52,66.52,112.92,0,2621.330078,100,9,Adaptive
