Table 2. Small intestine (SI) length and nominal surface area (NSA) of omnivorous birds and eutherian mammals [common names,,,,,,,
were extracted from the Integrated Taxonomic Information System (ITIS; www.itis.gov) and ref. 1],,,,,,,
"Species
Common name",science_name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,
cm2",Source
Red squirrel,Sciurus vulgaris,Rodentia,Sciuridae,600,174,306.5,"32, 34"
"Belding’s ground
squirrel",Spermophilus beldingi,Rodentia,Sciuridae,318,80,,"W.H.K.,
unpublished
data"
,,FLYING EUTHERIAN MAMMALS (BATS),,,,,
"Mariana sheath-tailed
bat","Emballonura
semicaudata",Chiroptera,Emballonuridae,7,9,,55
Proboscis bat,Rhynchonycteris naso,Chiroptera,Emballonuridae,4,12,,55
"Black-bearded tomb
bat","Taphozous
melanopogon",Chiroptera,Emballonuridae,22.7,53.6,,55
Yellow-winged bat,Lavia frons,Chiroptera,Megadermatidae,23.4,16.1,,55
,,,,,,,
Caviedes-Vidal et al.,Table 2,,,7,,,
"Species
Common name",Scientific name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,2
cm",Source
"Greater false vampire
bat",Megaderma lyra,Chiroptera,Megadermatidae,35.3,15.7,,55
"Lesser false vampire
bat",Megaderma spasma,Chiroptera,Megadermatidae,23.8,11.5,,55
Hairless bat,Cheiromeles torquatus,Chiroptera,Molossidae,168.5,34,,55
Pallas's mastiff bat,Molossus major,Chiroptera,Molossidae,10.7,12.3,,56
"Egyptian free-tailed
bat",Tadarida aegyptiaca,Chiroptera,Molossidae,17.7,16.6,,55
"Brazilian free-tailed
bat",Tadarida brasiliensis,Chiroptera,Molossidae,11.2,15.95,,57
Ghost-faced bat,"Mormoops
megalophylla",Chiroptera,Mormoopidae,15.3,,7.15,58
"Parnell's moustached
bat",Pteronotus parnellii,Chiroptera,Mormoopidae,20.1,14.7,7.04,"57, 58"
Greater bulldog bat,Noctilio leporinus,Chiroptera,Noctilionidae,59.2,34.2,,57
Large slit-faced bat,Nycteris grandis,Chiroptera,Nycteridae,29.4,24.3,,55
"Egyptian slit-faced
bat",Nycteris thebaica,Chiroptera,Nycteridae,8.95,11.7,,55
"Geoffrey's hairy-
legged bat",Anoura geoffroyi,Chiroptera,Phyllostomidae,15.5,,7.37,58
"Fringed fruit-eating
bat",Artibeus fimbriatus,Chiroptera,Phyllostomidae,63.9,34.68,,57
"Jamaican fruit-eating
bat",Artibeus jamaicensis,Chiroptera,Phyllostomidae,39.3,31.3,,55
Great fruit-eating bat,Artibeus lituratus,Chiroptera,Phyllostomidae,69.6,42.18,28.7,"57, This study"
"Antillean fruit-eating
bat","Brachyphylla
cavernarum",Chiroptera,Phyllostomidae,46.8,30.3,,55
