"Species
Common name",science_name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,
cm2",Source
"White-lined broad-
nosed bat",platyrrhinus lineatus,Chiroptera,Phyllostomidae,21.9,30.33,,57
"Greater broad-nosed
bat",platyrrhinus vittatus,Chiroptera,Phyllostomidae,36.6,36.2,,55
"Little yellow
shouldered bat",sturnira lilium,Chiroptera,Phyllostomidae,"16.8 -
21.9",21.8,9.58,"57, 58"
"Pygmy round-eared
bat",toniata brasiliensis,Chiroptera,Phyllostomidae,11.8,,5.62,58
Fringe-lipped bat,trachops cirrhosus,Chiroptera,Phyllostomidae,33.5,,11.29,58
"Little yellow-eared
bat",vampyressa pusilla,Chiroptera,Phyllostomidae,8.8,17.9,,57
Great stripe-faced bat,"vampyrodes
caraccioli",Chiroptera,Phyllostomidae,31,,15.64,58
,,,,,,,
Caviedes-Vidal et al.,table 2,,,9,,,
"Species
Common name",scientific name,Order,Family,"Body
mass, g","SI length,
cm","SI
NSA,2cm",Source
Straw-colored fruit bat,eidolon helvum,Chiroptera,Pteropodidae,266.8,170,,55
Lesser dawn bat,eonycteris spelaea,Chiroptera,Pteropodidae,51.6,35,,57
"Wahlberg's epauletted
fruit bat","epomophorus
wahlbergi",Chiroptera,Pteropodidae,76,73.3,76.49,59
"Franquet's epauletted
bat",epomops franqueti,Chiroptera,Pteropodidae,118.3,80,,55
"Hammer-headed fruit
bat","hypsignathus
monstrosus",Chiroptera,Pteropodidae,324.6,115,,55
Angola fruit bat,"lisonycteris
angolensis",Chiroptera,Pteropodidae,76.9,72.2,45.05,59
Black flying fox,pteropus alecto,Chiroptera,Pteropodidae,540,163,,60
Gray-headed flying fox,"pteropus
poliocephalus",Chiroptera,Pteropodidae,630 - 645,169,215,"57, 60, 61"
Egyptian fruit bat,rousettus aegyptiacus,Chiroptera,Pteropodidae,"126 -
168.3",103.45,33.3,"57, This
study"
Southern blossom bat,syconycteris australis,Chiroptera,Pteropodidae,18.8,36.1,,62
Trident leaf-nosed bat,asellia tridens,Chiroptera,Rhinolophidae,12.8,11.7,,55
Diadem roundleaf bat,hipposideros diadema,Chiroptera,Rhinolophidae,43.6,24,,55
"Geoffroy's horseshoe
bat",rhinolophus clivosus,Chiroptera,Rhinolophidae,20.1,10.2,,55
Greater horseshoe bat,"rhinolophus
ferrumequinum",Chiroptera,Rhinolophidae,23.5,17.9,,57
Lesser horseshoe bat,"rhinolophus
hipposideros",Chiroptera,Rhinolophidae,4.6,8.05,,55
Lesser mouse-tailed bat,"rhinopoma
hardwickei",Chiroptera,Rhinopomatidae,12.9,5.27,,55
"Greater mouse-tailed
bat","rhinopoma
microphyllum",Chiroptera,Rhinopomatidae,27.1,7.73,,55
Big brown bat,eptesicus fuscus,Chiroptera,Vespertilionidae,18,,16,43
Serotine,eptesicus serotinus,Chiroptera,Vespertilionidae,27,16.1,,57
Eastern red bat,lasiurus borealis,Chiroptera,Vespertilionidae,12.2,8,,57
,,,,,,,
Caviedes-Vidal et al.,table 2,,,10,,,
"Species
Common name",scientific name,Order,Family,"Body
mass, g","SI length,
cm","SI
NSA,2cm",Source
"Greater long-fingered
bat",miniopterus inflatus,Chiroptera,Vespertilionidae,8.9,19.6,9.13,59
